Row,Column,Day,Extremely high,High,Intermediate,Low,None,Total
D,1,1,7,29,0,0,0,36
D,2,1,13,1,0,0,0,14
D,3,1,5,25,0,0,0,30
D,4,1,6,36,0,0,0,42
D,5,1,0,35,5,0,0,40
D,6,1,9,24,0,0,0,33
D,7,1,7,24,0,0,0,31
D,8,1,32,7,0,0,0,39
D,9,1,7,26,0,0,0,33
D,10,1,4,24,0,0,0,28
D,11,1,7,23,0,0,0,30
D,12,1,8,14,0,0,0,22
E,1,1,0,0,0,0,0,0
E,2,1,0,0,0,0,0,0
E,3,1,0,0,0,0,0,0
E,4,1,0,1,0,0,0,1
E,5,1,0,4,0,0,0,4
E,6,1,0,11,7,0,0,18
E,7,1,4,10,0,0,0,14
E,8,1,3,24,0,0,0,27
E,9,1,6,10,0,0,0,16
E,10,1,9,27,0,0,0,36
E,11,1,0,23,4,0,0,27
E,12,1,15,2,1,0,0,18
F,1,1,2,29,2,0,0,33
F,2,1,0,11,3,0,0,14
F,3,1,3,14,0,0,0,17
F,4,1,6,25,0,0,0,31
F,5,1,5,31,0,0,0,36
F,6,1,0,27,8,0,0,35
F,7,1,4,20,6,0,0,30
F,8,1,0,25,8,0,0,33
F,9,1,3,11,0,0,0,14
F,10,1,6,21,0,0,0,27
F,11,1,4,18,0,0,0,22
F,12,1,0,0,0,0,0,0
G,1,1,2,23,0,0,0,25
G,2,1,0,10,3,0,0,13
G,3,1,7,30,0,0,0,37
G,4,1,4,28,0,0,0,32
G,5,1,3,19,0,0,0,22
G,6,1,2,32,0,0,0,34
G,7,1,1,27,0,0,0,28
G,8,1,0,11,0,0,0,11
G,9,1,0,14,2,0,0,16
G,10,1,0,15,0,0,0,15
G,11,1,30,7,0,0,0,37
G,12,1,4,25,0,0,0,29
H,1,1,26,0,0,0,0,26
H,2,1,3,26,0,0,0,29
H,3,1,5,22,0,0,0,27
H,4,1,2,25,0,0,0,27
H,5,1,0,33,0,0,0,33
H,6,1,5,23,0,0,0,28
H,7,1,0,0,0,0,0,0
H,8,1,2,30,0,0,0,32
H,9,1,0,27,0,0,0,27
H,10,1,0,33,2,0,0,35
H,11,1,5,19,0,0,0,24
H,12,1,2,26,0,0,0,28
